Month,Group,Reason,State,Count,record_type
2022-07-01,Financial,Financial,NSW,10470.0,group_total
2022-07-01,Interpersonal,Interpersonal Relationships,NSW,10824.0,group_total
2022-07-01,Health,Health,NSW,5386.0,group_total
2022-07-01,Other,Other,NSW,6553.0,group_total
2022-07-01,Not stated,Not stated,NSW,271.0,group_total
2022-07-01,Total,Total Clients,NSW,22908.0,group_total
2022-06-01,Accommodation,Accommodation,NSW,12681.0,group_total
2022-06-01,Financial,Financial,NSW,10970.0,group_total
2022-06-01,Interpersonal,Interpersonal Relationships,NSW,11022.0,group_total
2022-06-01,Health,Health,NSW,5544.0,group_total
2022-06-01,Other,Other,NSW,6818.0,group_total
2022-06-01,Not stated,Not stated,NSW,263.0,group_total
2022-06-01,Total,Total Clients,NSW,23706.0,group_total
2022-05-01,Accommodation,Accommodation,NSW,12727.0,group_total
2022-05-01,Financial,Financial,NSW,11016.0,group_total
2022-05-01,Interpersonal,Interpersonal Relationships,NSW,11242.0,group_total
2022-05-01,Health,Health,NSW,5671.0,group_total
2022-05-01,Other,Other,NSW,7064.0,group_total
2022-05-01,Not stated,Not stated,NSW,252.0,group_total
2022-05-01,Total,Total Clients,NSW,23814.0,group_total
2022-04-01,Accommodation,Accommodation,NSW,12446.0,group_total
2022-04-01,Financial,Financial,NSW,10774.0,group_total
2022-04-01,Interpersonal,Interpersonal Relationships,NSW,11120.0,group_total
2022-04-01,Health,Health,NSW,5651.0,group_total
2022-04-01,Other,Other,NSW,6804.0,group_total
2022-04-01,Not stated,Not stated,NSW,207.0,group_total
2022-04-01,Total,Total Clients,NSW,23172.0,group_total
2022-03-01,Accommodation,Accommodation,NSW,13198.0,group_total
2022-03-01,Financial,Financial,NSW,11326.0,group_total
2022-03-01,Interpersonal,Interpersonal Relationships,NSW,11737.0,group_total
2022-03-01,Health,Health,NSW,5880.0,group_total
2022-03-01,Other,Other,NSW,7095.0,group_total
2022-03-01,Not stated,Not stated,NSW,156.0,group_total
2022-03-01,Total,Total Clients,NSW,24229.0,group_total
2022-02-01,Accommodation,Accommodation,NSW,12633.0,group_total
2022-02-01,Financial,Financial,NSW,10978.0,group_total
2022-02-01,Interpersonal,Interpersonal Relationships,NSW,11398.0,group_total
2022-02-01,Health,Health,NSW,5714.0,group_total
2022-02-01,Other,Other,NSW,6710.0,group_total
2022-02-01,Not stated,Not stated,NSW,165.0,group_total
2022-02-01,Total,Total Clients,NSW,23522.0,group_total
2022-01-01,Accommodation,Accommodation,NSW,12340.0,group_total
2022-01-01,Financial,Financial,NSW,10619.0,group_total
2022-01-01,Interpersonal,Interpersonal Relationships,NSW,11263.0,group_total
2022-01-01,Health,Health,NSW,5644.0,group_total
2022-01-01,Other,Other,NSW,6459.0,group_total
2022-01-01,Not stated,Not stated,NSW,163.0,group_total
2022-01-01,Total,Total Clients,NSW,22925.0,group_total
2021-12-01,Accommodation,Accommodation,NSW,12322.0,group_total
2021-12-01,Financial,Financial,NSW,10658.0,group_total
2021-12-01,Interpersonal,Interpersonal Relationships,NSW,11260.0,group_total
2021-12-01,Health,Health,NSW,5776.0,group_total
2021-12-01,Other,Other,NSW,6640.0,group_total
2021-12-01,Not stated,Not stated,NSW,159.0,group_total
2021-12-01,Total,Total Clients,NSW,23147.0,group_total
2021-11-01,Accommodation,Accommodation,NSW,13115.0,group_total
2021-11-01,Financial,Financial,NSW,11103.0,group_total
2021-11-01,Interpersonal,Interpersonal Relationships,NSW,11749.0,group_total
2021-11-01,Health,Health,NSW,6108.0,group_total
2021-11-01,Other,Other,NSW,6958.0,group_total
2021-11-01,Not stated,Not stated,NSW,148.0,group_total
2021-11-01,Total,Total Clients,NSW,24242.0,group_total
2021-10-01,Accommodation,Accommodation,NSW,13095.0,group_total
2021-10-01,Financial,Financial,NSW,10869.0,group_total
2021-10-01,Interpersonal,Interpersonal Relationships,NSW,11508.0,group_total
2021-10-01,Health,Health,NSW,6045.0,group_total
2021-10-01,Other,Other,NSW,6785.0,group_total
2021-10-01,Not stated,Not stated,NSW,149.0,group_total
2021-10-01,Total,Total Clients,NSW,23757.0,group_total
2021-09-01,Accommodation,Accommodation,NSW,13207.0,group_total
2021-09-01,Financial,Financial,NSW,10752.0,group_total
2021-09-01,Interpersonal,Interpersonal Relationships,NSW,11480.0,group_total
2021-09-01,Health,Health,NSW,6105.0,group_total
2021-09-01,Other,Other,NSW,6856.0,group_total
2021-09-01,Not stated,Not stated,NSW,162.0,group_total
2021-09-01,Total,Total Clients,NSW,23897.0,group_total
2021-08-01,Accommodation,Accommodation,NSW,13107.0,group_total
2021-08-01,Financial,Financial,NSW,10814.0,group_total
2021-08-01,Interpersonal,Interpersonal Relationships,NSW,11603.0,group_total
2021-08-01,Health,Health,NSW,6110.0,group_total
2021-08-01,Other,Other,NSW,6946.0,group_total
2021-08-01,Not stated,Not stated,NSW,182.0,group_total
2021-08-01,Total,Total Clients,NSW,24057.0,group_total
2021-07-01,Accommodation,Accommodation,NSW,13114.0,group_total
2021-07-01,Financial,Financial,NSW,10983.0,group_total
2021-07-01,Interpersonal,Interpersonal Relationships,NSW,11760.0,group_total
2021-07-01,Health,Health,NSW,6101.0,group_total
2021-07-01,Other,Other,NSW,7099.0,group_total
2021-07-01,Not stated,Not stated,NSW,189.0,group_total
2021-07-01,Total,Total Clients,NSW,24347.0,group_total
2021-06-01,Accommodation,Accommodation,NSW,13082.0,group_total
2021-06-01,Financial,Financial,NSW,11021.0,group_total
2021-06-01,Interpersonal,Interpersonal Relationships,NSW,11953.0,group_total
2021-06-01,Health,Health,NSW,6036.0,group_total
2021-06-01,Other,Other,NSW,7140.0,group_total
2021-06-01,Not stated,Not stated,NSW,213.0,group_total
2021-06-01,Total,Total Clients,NSW,24717.0,group_total
2021-05-01,Accommodation,Accommodation,NSW,13297.0,group_total
2021-05-01,Financial,Financial,NSW,11163.0,group_total
2021-05-01,Interpersonal,Interpersonal Relationships,NSW,12277.0,group_total
2021-05-01,Health,Health,NSW,6178.0,group_total
2021-05-01,Other,Other,NSW,7346.0,group_total
2021-05-01,Not stated,Not stated,NSW,223.0,group_total
2021-05-01,Total,Total Clients,NSW,25108.0,group_total
2021-04-01,Accommodation,Accommodation,NSW,13302.0,group_total
2021-04-01,Financial,Financial,NSW,11097.0,group_total
2021-04-01,Interpersonal,Interpersonal Relationships,NSW,12103.0,group_total
2021-04-01,Health,Health,NSW,6103.0,group_total
2021-04-01,Other,Other,NSW,7255.0,group_total
2021-04-01,Not stated,Not stated,NSW,221.0,group_total
2021-04-01,Total,Total Clients,NSW,24854.0,group_total
2021-03-01,Accommodation,Accommodation,NSW,13241.0,group_total
2021-03-01,Financial,Financial,NSW,11334.0,group_total
2021-03-01,Interpersonal,Interpersonal Relationships,NSW,12315.0,group_total
2021-03-01,Health,Health,NSW,6258.0,group_total
2021-03-01,Other,Other,NSW,7403.0,group_total
2021-03-01,Not stated,Not stated,NSW,248.0,group_total
2021-03-01,Total,Total Clients,NSW,25093.0,group_total
2021-02-01,Accommodation,Accommodation,NSW,12855.0,group_total
2021-02-01,Financial,Financial,NSW,10953.0,group_total
2021-02-01,Interpersonal,Interpersonal Relationships,NSW,11955.0,group_total
2021-02-01,Health,Health,NSW,5991.0,group_total
2021-02-01,Other,Other,NSW,7196.0,group_total
2021-02-01,Not stated,Not stated,NSW,260.0,group_total
2021-02-01,Total,Total Clients,NSW,24321.0,group_total
2021-01-01,Accommodation,Accommodation,NSW,12147.0,group_total
2021-01-01,Financial,Financial,NSW,10436.0,group_total
2021-01-01,Interpersonal,Interpersonal Relationships,NSW,11587.0,group_total
2021-01-01,Health,Health,NSW,5771.0,group_total
2021-01-01,Other,Other,NSW,6677.0,group_total
2021-01-01,Not stated,Not stated,NSW,264.0,group_total
2021-01-01,Total,Total Clients,NSW,23077.0,group_total
2020-12-01,Accommodation,Accommodation,NSW,11971.0,group_total
2020-12-01,Financial,Financial,NSW,10446.0,group_total
2020-12-01,Interpersonal,Interpersonal Relationships,NSW,11500.0,group_total
2020-12-01,Health,Health,NSW,5718.0,group_total
2020-12-01,Other,Other,NSW,6936.0,group_total
2020-12-01,Not stated,Not stated,NSW,275.0,group_total
2020-12-01,Total,Total Clients,NSW,23201.0,group_total
2020-11-01,Accommodation,Accommodation,NSW,12543.0,group_total
2020-11-01,Financial,Financial,NSW,10901.0,group_total
2020-11-01,Interpersonal,Interpersonal Relationships,NSW,11868.0,group_total
2020-11-01,Health,Health,NSW,5999.0,group_total
2020-11-01,Other,Other,NSW,7209.0,group_total
2020-11-01,Not stated,Not stated,NSW,322.0,group_total
2020-11-01,Total,Total Clients,NSW,24108.0,group_total
